Date,SentimentScore
2023-12-08,0.180981
2023-12-07,0.22392
2023-12-06,0.179538
2023-12-04,0.168591
2023-11-30,0.373457
2023-11-29,0.21702999999999997
2023-11-28,0.20892650000000001
2023-11-27,0.20527700000000002
2023-11-23,0.241618
2023-11-21,0.1861775
2023-11-17,0.224257
2023-11-16,0.1736195
2023-11-13,0.197286
2023-11-10,0.153636
2023-11-09,0.192247
2023-11-08,0.121948
2023-11-06,0.19519999999999996
2023-11-02,0.24458800000000003
2023-11-01,0.299084
2023-10-31,0.18813
2023-10-30,0.22244799999999998
2023-10-29,0.254083
2023-10-26,0.052746999999999995
2023-10-24,0.15517266666666665
2023-10-23,-0.287943
2023-10-21,0.20537
2023-10-20,0.0280603
2023-10-19,0.11185233333333333
2023-10-18,0.10648525
2023-10-17,0.21816666666666665
2023-10-16,0.1329795
2023-10-13,0.09738583333333334
2023-10-12,0.146366
2023-10-11,0.0867185
2023-10-09,0.164762
2023-10-07,0.183776
2023-10-04,0.07398766666666666
2023-10-03,0.21194833333333332
2023-10-02,0.32005100000000003
2023-09-29,0.229487
2023-09-27,0.0873275
2023-09-26,0.25560116666666666
2023-09-25,0.269574
2023-09-22,0.12573499999999999
2023-09-21,0.20011925
2023-09-19,0.176797
2023-09-18,0.1319844
2023-09-15,0.2757265
2023-09-13,0.21284899999999998
2023-09-12,0.108487
2023-09-11,0.167995
2023-09-07,0.18415120000000001
2023-09-06,0.26197185714285715
2023-09-05,0.24460366666666666
2023-09-04,0.245779
2023-09-02,0.033823
2023-08-31,0.18053733333333333
2023-08-30,0.24603325
2023-08-29,0.14838766666666667
2023-08-28,0.2727983333333333
2023-08-26,0.119999
2023-08-25,0.29518
2023-08-24,0.257325
2023-08-23,0.241618
2023-08-22,0.221595
2023-08-21,0.18336
2023-08-19,0.178846
2023-08-18,0.11041200000000001
2023-08-17,0.1693445
2023-08-16,0.040756
2023-08-15,0.16497133333333333
2023-08-14,0.1849886666666667
2023-08-12,0.15037
2023-08-11,0.038279
