Date,SentimentScore
2024-12-18,0.26783999999999997
2024-12-17,0.2562301111111111
2024-12-16,0.23504025
2024-12-15,0.162598
2024-12-14,0.2792812
2024-12-13,0.25311225
2024-12-12,0.3496992
2024-12-11,0.19512966666666665
2024-12-10,0.25857455555555553
2024-12-09,0.21783249999999998
2024-12-08,0.300669
2024-12-07,0.1890625
2024-12-06,0.289603
2024-12-05,0.2987046666666667
2024-12-04,0.22370066666666666
2024-12-03,0.23785271428571428
2024-12-02,0.21290275
2024-12-01,0.32985
2024-11-29,0.1922995
2024-11-28,0.2877516666666667
2024-11-27,0.27642142857142854
2024-11-26,0.229671
2024-11-25,0.22128
2024-11-24,0.39539
2024-11-23,0.285962
2024-11-22,0.19492299999999999
2024-11-21,0.15495366666666666
2024-11-20,0.25773166666666664
2024-11-19,0.21325879999999997
2024-11-17,0.298707
2024-11-16,0.21281450000000002
2024-11-15,0.23934660000000002
2024-11-14,0.2427485
2024-11-13,0.27514475
2024-11-12,0.29384360000000004
2024-11-11,0.3096303333333333
2024-11-10,0.318205
2024-11-09,0.28525233333333333
2024-11-08,0.18213075
2024-11-07,0.1605
2024-11-06,0.2008054
2024-11-05,0.217341
2024-11-04,0.23447885714285713
2024-11-01,0.13159893333333333
2024-10-31,0.2498516666666667
2024-10-30,0.26192380000000004
2024-10-29,0.27400583333333334
2024-10-28,0.12157838461538462
2024-10-27,0.2636805
2024-10-26,0.3244135
2024-10-25,0.21699075
2024-10-24,0.28048766666666664
2024-10-23,0.2425176
2024-10-22,0.332111
2024-10-21,0.207938
2024-10-20,0.3506296666666667
2024-10-19,0.2266995
2024-10-18,0.1990332
2024-10-17,0.2600286666666667
2024-10-16,0.3116734
2024-10-15,0.15484142857142857
2024-10-14,0.3202312
2024-10-13,0.341426
2024-10-12,0.24756466666666666
2024-10-11,0.24759866666666666
2024-10-10,0.22895400000000002
2024-10-09,0.21744322222222223
2024-10-08,0.23563359999999997
2024-10-07,0.19779075000000002
2024-10-04,0.25123175000000003
2024-10-03,0.23337225
2024-10-02,0.24463042857142855
2024-10-01,0.24033933333333332
2024-09-30,0.21254900000000002
2024-09-29,0.335018
2024-09-28,0.372433
2024-09-27,0.21840716666666668
2024-09-26,0.15664999999999998
2024-09-25,0.22846166666666667
2024-09-24,0.11627042857142857
2024-09-23,0.221047
2024-09-21,0.165983
2024-09-20,0.20472566666666667
2024-09-19,0.20401975
2024-09-18,0.27688866666666667
2024-09-17,0.14195249999999998
2024-09-16,0.226877
2024-09-15,0.29826
2024-09-14,0.004841
2024-09-13,0.2697935
2024-09-12,0.21318960000000003
2024-09-11,0.18376554545454546
2024-09-10,0.10806845454545454
2024-09-09,0.10431900000000001
2024-09-08,0.18696249999999998
2024-09-07,0.22229
2024-09-06,0.32773225
2024-09-05,0.16413033333333335
2024-09-04,0.25945063636363636
2024-09-03,0.0019310000000000004
2024-09-02,0.24125766666666668
2024-09-01,0.33504049999999996
2024-08-31,0.270087
2024-08-30,0.30776
2024-08-29,0.32930933333333334
2024-08-28,0.2632334
2024-08-27,0.22078183333333334
2024-08-26,0.15262666666666666
2024-08-25,0.2336185
2024-08-24,0.3654545
2024-08-23,0.24696099999999999
2024-08-22,0.2851692
2024-08-21,0.22282533333333332
2024-08-20,0.2447124
2024-08-19,0.32324325
2024-08-17,0.21267866666666668
2024-08-16,0.170405
2024-08-15,0.29342900000000005
2024-08-14,0.239533
2024-08-13,0.23093625
2024-08-12,0.1855918
2024-08-11,0.262808
2024-08-10,0.273068
2024-08-09,0.135689
2024-08-08,0.244339625
2024-08-07,0.2337515
2024-08-06,0.221959
2024-08-05,0.20494271428571428
2024-08-04,0.211536
2024-08-02,0.1535683076923077
2024-08-01,0.18528571428571428
2024-07-30,0.1866482
2024-07-29,0.193276
2024-07-28,0.273738
2024-07-26,0.25102166666666664
2024-07-25,0.23460999999999999
2024-07-24,0.323946
2024-07-23,0.2342412857142857
2024-07-22,0.247029
2024-07-21,0.20539166666666667
2024-07-20,0.243525
2024-07-19,0.23821775
2024-07-18,0.315845
2024-07-17,0.136835
2024-07-16,0.3057952222222222
2024-07-15,0.26073366666666664
2024-07-13,0.20792733333333335
2024-07-12,0.1134484
2024-07-11,0.224427
2024-07-10,0.214291
2024-07-09,0.234629
2024-07-08,0.19225112500000002
2024-07-07,0.315998
2024-07-06,0.265618
2024-07-05,0.260538
2024-07-04,0.23909214285714284
2024-07-03,0.3399715
2024-07-02,0.23862016666666666
